date,ground_no2,satellite_no2,curr_temp_celsius,curr_surface_net_solar_radiation,curr_surface_pressure,curr_boundary_layer_height,prev_temp_celsius,prev_surface_net_solar_radiation,prev_surface_pressure,prev_boundary_layer_height,prev_wind_dir
2022-05-17,27.281850000000002,0.00013713872572320562,31.558214653862866,2200786.0833333335,99871.71999999999,2309.0393,24.00307998657229,738964.8633333333,100055.61125,609.8263166666667,1
2022-05-18,19.945877777777778,5.8968733602395304e-05,29.15585564507381,1584775.6083333332,100412.9225,1150.049675,24.91723138057827,712507.2033333333,100388.6225,706.96413,4
2022-05-19,18.442833333333333,9.721127751437723e-05,28.526373799641956,1938899.1500000001,100806.34416666668,1728.0050833333335,24.074636309074652,622329.3625,100871.03416666668,753.8082216666667,4
2022-05-20,22.89040606060606,0.00011121064660979698,32.32746877959283,1946415.7181818185,100628.9709090909,1757.808972727273,25.21240216720205,737184.4545454546,100751.12909090909,621.1116454545455,2
2022-05-21,18.5703,5.586536113644162e-05,32.83534749348961,2091310.9600000002,99888.461,2051.8480200000004,25.657555597478716,781857.169,100082.6535,649.853982,1
2022-05-24,8.9386,6.594807227907983e-05,28.46594645182294,1920097.9,99007.94,1640.7275,22.331359308416214,650913.75,99095.95,591.2943,8
2022-05-25,25.782125,0.00011197616234113019,25.014104461669945,1500412.725,99689.29375000001,781.5818625,20.89033643549141,535614.925,99633.5975,395.62120125,5
2022-05-26,23.53194,6.484064336055973e-05,28.114420572916693,1977402.4400000002,100293.06999999999,1024.27695,22.691354092684684,699200.8099999999,100268.37700000001,512.232446,4
2022-05-27,27.463272727272727,9.923352642461502e-05,30.961107103752393,2179284.3181818184,99777.3809090909,1556.1103090909091,25.019466381230654,795993.8363636363,99953.4109090909,506.2204,1
2022-05-28,17.10284,7.705765727812089e-05,27.86396891276044,1753041.0399999998,98845.654,2231.8964399999995,23.327193659002155,736465.9319999999,99121.083,729.824952,5
2022-05-29,9.082,6.299088621875437e-05,19.715254720052105,1820903.5,99098.59,1415.3275,16.2970866810192,375346.38,99234.74,818.065,4
2022-05-31,13.6708,7.524239531704971e-05,23.713708496093773,1444360.5,99844.43,1608.0126,19.830607466264222,501564.7,99869.75,545.0796,6
2022-06-01,13.8381,5.689091205940175e-05,27.6252380371094,1416662.0,99868.26,1768.7904,21.99719737659803,709487.1,99920.87,590.25757,8
2022-06-02,14.49296,7.268241970271398e-05,29.501192220052104,1859377.28,99946.67250000002,1355.66856,23.906050109863305,628902.574,99975.208,376.691365,6
2022-06-04,14.99486,6.68877997442949e-05,30.343436686197936,2037194.0900000003,100044.2385,1545.70658,24.325336248224453,743810.845,100104.098,429.99576399999995,7
2022-06-05,12.34674,6.36840273060465e-05,28.100324503580747,1651146.73,99712.3696,1190.12434,24.608600408380706,685578.4959999999,99820.057,549.362098,4
2022-06-06,23.214866666666666,0.00010180407546341144,30.25747522424771,1704103.2666666666,99736.95111111112,1765.0458,23.168018749506807,629850.0222222223,99802.86555555556,504.3144333333333,5
2022-06-07,22.197125,7.02178000386238e-05,25.139545694987003,1494037.4875,99362.3125,1049.596475,21.607140419699952,488653.095,99505.495,379.47080125,5
2022-06-09,17.39442,6.51370770745109e-05,27.385718790690124,2262571.4,99122.3165,2097.69413,21.415205522017068,854138.175,99241.1615,785.3172199999999,7
2022-06-10,21.94976,0.00019118692464996,29.259969075520853,2381402.37,99920.674,2122.08194,22.946362304687522,879515.4940000002,99933.71699999999,649.6692340000001,6
